processed_text,airline_sentiment
said,neutral
plus added commercials experience tacky,positive
not today must mean need take another trip,neutral
really aggressive blast obnoxious entertainment guests faces little recourse,negative
really big bad thing,negative
seriously would pay 30 flight seats not playing really bad thing flying va,negative
yes nearly every time fly vx ear worm not go away,positive
really missed prime opportunity men without hats parody,neutral
well not,positive
amazing arrived hour early good,positive
know suicide second leading death among teens 10 24,neutral
lt 3 pretty graphics much better minimal iconography,positive
great deal already thinking 2nd trip not even gone 1st trip yet p,positive
flying fabulous seductive skies take stress away travel,positive
thanks,positive
sfo pdx schedule still mia,negative
excited first cross country flight lax mco heard nothing great things virgin america 29daystogo,positive
flew nyc sfo last week could not fully sit seat due two large gentleman either side help,negative
flying ❤ ☺ 👍,positive
know would amazingly awesome bos fll please want fly,positive
first fares may three times carriers seats available select,negative
love graphic,positive
love hipster innovation feel good brand,positive
making bos gt las non stop permanently anytime soon,neutral
guys messed seating reserved seating friends guys gave seat away want free internet 😡,negative
status match program applied three weeks called emailed no response,negative
happened 2 vegan food options least say site know not able 2 eat anything next 6 hrs fail,negative
miss not worry together soon,neutral
amazing cannot get cold air vents vx358 noair worstflightever roasted sfotobos,negative
lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral
hi bked cool birthday trip cannot add elevate no entered middle name flight booking problems 😢,negative
hours operation club sfo posted online current,neutral
help left expensive headphones flight 89 iad lax today seat 2a no one answering l f number lax,negative
awaiting return phone call would prefer use online self service option,negative
great news america could start flights hawaii end year via,positive
nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,neutral
moodlighting way fly best experience ever cool calming moodlitmonday 💜 ✈,positive
done done best airline around hands,positive
book flight hawaii,neutral
chat support not working site,negative
view downtown los angeles hollywood sign beyond rain mountains,positive
hey first time flyer next week excited hard time getting flights added elevate account help,negative
plz help win bid upgrade flight 2 27 lax gt sea 🍷 👍 💺 ✈,neutral
unused ticket moved new city not fly fly expires travelhelp,neutral
flights leaving dallas seattle time feb 24,neutral
elevategold good reason rock,positive
dream,neutral
wow blew mind,positive
last night tribute soundofmusic oscars 2015 think agree,neutral
entertaining,neutral
flight 769 way supposed take 30 minutes ago website still shows time not flight thanks,neutral
julie andrews way though impressive no,positive
